title;rgroup;year;status;journal;author;role;yrs_empl
The analytic construction of D-optimal designs for the two-variable binary logistic regression model without interaction;des;2015;4;Statistics;haines;ep;4
The beta-Poisson distribution in Wadley's problem;oth;2014;4;Communications in Statistics - Theory and Methods;haines;ep;4
The construction of D- and I-optimal designs for mixtrure experiments with linear constraints on the components;des;2017;3;Chemometrics and Intelligent Laboratory Systems;haines;ep;4
The construction of optimal designs for dose-escalation studies;des;2014;4;Statistics and Computing;haines;ep;4
The contribution of different forms of violence exposure to internalizing and externalizing symptoms among young South African adolescents;oth;2015;4;Child Abuse and Neglect;hardy;con;4
NA;;NA;NA;NA;henry;pdoc;2
A conditional extreme value approach to value-at-risk estimation with exchangeable innovations;f;2016;6;NA;huang;sl;4
Assessing the relative performance of heavy-tailed distributions: empirical evidence from the Johannesburg Stock Exchange;f;2014;4;Journal of Applied Business Research;huang;sl;4
Dependent bootstrapping for value-at-risk and expected shortfall;f;2017;1;Risk Management;huang;sl;4
Empirical analyses of extreme value models for the South African mining index;f;2015;4;South African Journal of Economics;huang;sl;4
Evaluating risk in gold prices with generalized hyperbolic and stable distributions;f;2015;1;NA;huang;sl;4
Evaluating risk in precious metal prices with generalised lambda, generalised Pareto and generalised extreme value distributions;f;2017;3;South African Statistical Journal;huang;sl;4
Exchangeability, extreme returns and Value-at-Risk forecasts;f;2017;3;Physica A: Statistical Mechanics and its Applications;huang;sl;4
Extreme risk in resource indices and the generalized logistic distribution;f;2017;3;Journal of Applied Business Research;huang;sl;4
Extreme Risk Value-At-Risk And Expected Shortfall In The Gold Market;f;2015;4;International Business and Economics Research Journal;huang;sl;4
Generalized hyperbolic distributions and value-at-risk estimation for the South African mining index;f;2014;1;International Business and Economics Research Journal;huang;sl;4
On exchangeability and Hausdorff moment problems over k-dimensional simplexes;f;2014;1;South African Statistical Journal;huang;sl;4
Sampling variance of a multi-phase stratified design on partially exchangeable sequences;f;2016;6;NA;huang;sl;4
Value-at-risk for the USD/ZAR exchange rate: the variance-Gamma Model;f;2015;4;South African Journal of Economic and Management Sciences;huang;sl;4
The second Southern African Bird Atlas Project: Causes and consequences of geographical sampling bias;e;2017;4;Ecology and Evolution;hugo;pdoc;2
Incorporating species detectability into conservation targets based on the species-area relationship;e;2016;6;Diversity and Distributions;karenyi;pdoc;2
Kinematic and kinetic gait deviations in males long after anterior cruciate ligament reconstruction;b;2017;4;Clinical Biomechanics;kassanjee;con;4
Moving towards a reliable HIV incidence test _„_ current status, resources available, future directions and challenges ahead;b;2016;6;Epidemiology and Infection;kassanjee;con;4
"Performance of the Bio-Rad Geenius HIV1/2 supplemental assay in detecting ""Recent"" HIV infection and calculating population incidence";b;2016;6;JAIDS Journal of Acquired Immune Deficiency Syndromes;kassanjee;con;4
Primary cutaneous malignancies in the Northern Cape Province of South Africa: A retrospective histopathological review;b;2017;7;SAMJ SOUTH AFRICAN MEDICAL JOURNAL;kassanjee;con;4
Viral load criteria and threshold optimization to improve HIV incidence assay characteristics;b;2016;6;AIDS;kassanjee;con;4
NA;;NA;NA;NA;katshunga;l;4
9B Polymorphism of the Glucocorticoid receptor gene appears to have limited impact in patients with Addison's disease;b;2014;4;Public Library of Science ONE;lacerda;sl;4
Anti-Retroviral Therapy Increases the Prevalence of Dyslipidemia in South African HIV-Infected Patients;b;2016;6;Public Library of Science ONE;lacerda;sl;4
Differences in genetic variants in lopinavir disposition among HIV-infected Bantu Africans;b;2016;6;Pharmacogenomics;lacerda;sl;4
Effects of CYP2B6 and CYP1A2 genetic variation on Nevirapine plasma concentration and pharmacodynamics as measured by CD4 cell count in Zimbabwean HIV-infected patients;b;2015;4;OMICS;lacerda;sl;4
Recreational fish-finders-an inexpensive alternative to scientific echo-sounders for unravelling the links between marine top predators and their prey;b;2015;4;Public Library of Science ONE;lacerda;sl;4
Salivary Cortisol and Cortisone do not Appear to be Useful Biomarkers for Monitoring Hydrocortisone Replacement in Addison's Disease;b;2016;6;Hormone and Metabolic Research;lacerda;sl;4
Small pelagic fish responses to fine-scale oceanographic conditions: implications for the endangered African penguin;e;2017;6;Marine Ecology - Progress Series;lacerda;sl;4
CCR5 expression, haplotype and immune activation in protection from infection in HIV-exposed uninfected individuals in HIV-serodiscordant relationships;b;2017;6;Immunology;little;ap;4
CD4+ T cell recovery during suppression of HIV replication: an international comparison of the immunological efficacy of antiretroviral therapy in North America Asia and Africa;b;2015;4;International Journal of Epidemiology;little;ap;4
Correction: Hitting a Moving Target: A Model for Malaria Elimination in the Presence of Population Movement;b;2015;4;Public Library of Science ONE;little;ap;4
Defining genital tract cytokine signatures of sexually transmitted infections and bacterial vaginosis in women at high risk of HIV infection: a cross-sectional study;b;2014;4;Sexually Transmitted Infections;little;ap;4
Diagnosis of pulmonary tuberculosis in children: assessment of the 2012 National Institutes of Health expert consensus criteria;b;2015;4;Clinical Infectious Diseases;little;ap;4
Female genital tract inflammation, HIV co-infection and persistent mucosal Human Papillomavirus (HPV) infections;b;2016;6;Virology;little;ap;4
Genital inflammation and the risk of HIV acquisition in women;b;2015;4;Clinical Infectious Diseases;little;ap;4
H1:IC31 vaccination is safe and induces long-lived TNF-•±+IL-2+CD4 T cell responses in M. tuberculosis infected and uninfected adolescents: A randomized trial;b;2017;4;Vaccine;little;ap;4
Hitting a Moving Target: A Model for Malaria Elimination in the Presence of Population Movement (vol 10, e0144990, 2015);b;2016;1;Public Library of Science ONE;little;ap;4
HIV-associated CD4+/CD8+ depletion in infancy is associated with neurometabolic reductions in the basal ganglia at age 5 years despite early antiretroviral therapy;b;2016;6;AIDS;little;ap;4
Inflammatory cytokine biomarkers to identify women with asymptomatic sexually transmitted infections and bacterial vaginosis who are at high risk of HIV infection;b;2016;6;Sexually Transmitted Infections;little;ap;4
"Performance of the Bio-Rad Geenius HIV1/2 supplemental assay in detecting ""Recent"" HIV infection and calculating population incidence";b;2016;6;JAIDS Journal of Acquired Immune Deficiency Syndromes;little;ap;4
Predicting the impact of border control on malaria transmission: a simulated focal screen and treat campaign;b;2015;4;Malaria Journal;little;ap;4
Renal impairment in HIV-infected patients initiating tenofovir-containing antiretroviral therapy regimens in a Primary Healthcare Setting in South Africa;b;2015;4;Tropical Medicine and International Health;little;ap;4
Screening and brief intervention for substance misuse: does it reduce aggression and HIV-related risk behaviours?;b;2015;4;Alcohol and Alcoholism;little;ap;4
Sensitivity to model structure: a comparison of compartmental models in epidemiology;b;2016;4;Health Systems;little;ap;4
Towards malaria elimination in Mpumalanga, South Africa: a population-level mathematical modelling approach;b;2014;1;Malaria Journal;little;ap;4
Viral load criteria and threshold optimization to improve HIV incidence assay characteristics;b;2016;6;AIDS;little;ap;4
NA;;NA;NA;NA;low;sl;4
NA;;NA;NA;NA;mavuso;l;1
NA;;NA;NA;NA;msemburi;l;1
NA;;NA;NA;NA;ngwenya;l;1
Analysis of animal accelerometer data using hidden Markov models;e;2017;3;Methods in Ecology and Evolution;photopoulou;pdoc;2
Bimodal winter haul-out patterns of adult Weddell seals (Leptonychotes weddellii) in the southern Weddell Sea;e;2016;6;Public Library of Science ONE;photopoulou;pdoc;2
Efficient abstracting of dive profiles using a broken-stick model;e;2015;4;Methods in Ecology and Evolution;photopoulou;pdoc;2
Estimation and simulation of foraging trips in land-based marine predators;e;2017;4;Bulletin of the Ecological Society of America;photopoulou;pdoc;2
Evidence for a postreproductive phase in female false killer whales Pseudorca crassidens;e;2017;4;Frontiers in Zoology;photopoulou;pdoc;2
"Identifying the ""demon whale-biter"": Patterns of scarring on large whales attributed to a cookie-cutter shark Isistius sp";e;2016;6;Public Library of Science ONE;photopoulou;pdoc;2
Spatial variation in maximum dive depth in gray seals in relation to foraging;e;2014;4;Marine Mammal Science;photopoulou;pdoc;2
NA;;NA;NA;NA;pienaar;l;1
A system dynamics approach to modelling multiple drivers of the African penguin population on Robben Island  South Africa;or;2014;4;Ecological Modelling;scott;ap;4
Decision support for Foodbank South Africa;or;2014;4;Orion: Journal of the Operations Research of South Africa;scott;ap;4
Penguins' perilous conservation status calls for complementary approach based on sound ecological principles: reply to Butterworth et al. (2015);or;2016;6;Ecological Modelling;scott;ap;4
Assessing the impact of next-generation rapid diagnostic tests on Plasmodium falciparum malaria elimination strategies;msim;2015;4;Nature;silal;sl;4
Correction: Hitting a Moving Target: A Model for Malaria Elimination in the Presence of Population Movement;msim;2015;4;Public Library of Science ONE;silal;sl;4
Hitting a Moving Target: A Model for Malaria Elimination in the Presence of Population Movement (vol 10, e0144990, 2015);msim;2016;1;Public Library of Science ONE;silal;sl;4
Local level inequalities in the use of hospital-based maternal delivery in rural South Africa;msim;2014;1;Globalization and Health;silal;sl;4
Predicting the impact of border control on malaria transmission: a simulated focal screen and treat campaign;msim;2015;4;Malaria Journal;silal;sl;4
Sensitivity to model structure: a comparison of compartmental models in epidemiology;msim;2016;4;Health Systems;silal;sl;4
Towards malaria control and elimination in Ghana: challenges and decision making tools to guide;msim;2017;3;Global Health Action;silal;sl;4
Towards malaria elimination in Mpumalanga, South Africa: a population-level mathematical modelling approach;msim;2014;1;Malaria Journal;silal;sl;4
A multiobjective GIS-based land use planning algorithm;or;2014;4;Computers, Environment and Urban Systems;stewart;ep;4
A spatial optimization algorithm for geodesign;or;2015;4;Landscape and Urban Planning;stewart;ep;4
A system dynamics approach to modelling multiple drivers of the African penguin population on Robben Island  South Africa;or;2014;4;Ecological Modelling;stewart;ep;4
A systems approach to urban water services in the context of integrated energy and water planning: a City of Cape Town case study;or;2014;4;Journal of Energy in Southern Africa;stewart;ep;4
Dealing with uncertainties in MCDA;or;2016;6;NA;stewart;ep;4
Decision support for Foodbank South Africa;or;2014;4;Orion: Journal of the Operations Research of South Africa;stewart;ep;4
Multiple objective project portfolio selection based on reference points;or;2016;6;Journal of Business Economics;stewart;ep;4
On the validity of team performance indicators in rugby union;or;2017;3;International Journal of Performance Analysis in Sport;stewart;ep;4
Penguins' perilous conservation status calls for complementary approach based on sound ecological principles: reply to Butterworth et al. (2015);or;2016;6;Ecological Modelling;stewart;ep;4
A novel technique for direct measurements of contact resistance between interlaced conductive yarns in a plain weave;or;2015;4;Textile Research Journal;stray;l;3
A comparison of plug-in predictors for lognormal kriging;geo;2016;6;Spatial Statistics;thiart;ap;3
Metallogenic Fingerprints of the Congo Shield with Predictions for Mineral Endowment Beneath the Congo Basin;geo;2015;4;NA;thiart;ap;3
Differential impacts of foraging plasticity by greater flamingo Phoenicopterus roseus on intertidal soft sediments;e;2017;6;Marine Ecology - Progress Series;varughese;sl;3
Non-parametric transient classification using adaptive wavelets;oth;2015;4;Monthly Notices of the Royal Astronomical Society;varughese;sl;3
Sequential quantiles via Hermite series density estimation;oth;2017;4;Electronic Journal of Statistics;varughese;sl;3
Collapse of an iconic conifer: Long-term changes in the demography of Widdringtonia cedarbergensis using repeat photography;e;2016;6;BMC Ecology;visser;pdoc;2
Emerging Ornamental Plant Invaders in Urban Areas - Centranthus ruber in Cape Town, South Africa as a Case Study;e;2017;3;Invasive Plant Science and Management;visser;pdoc;2
Grasses as invasive plants in South Africa revisited: Patterns, pathwys and management;e;2017;3;Bothalia - African Biodiversity & Conservation‘_;visser;pdoc;2
Lack of human-assisted dispersal means Pueraria montana var. lobata (kudzu vine) could still be eradicated from South Africa;e;2016;6;Biological Invasions;visser;pdoc;2
Learning from single extreme events;e;2017;4;Philosophical Transactions B: Biological Sciences;visser;pdoc;2
Much more give than take: South Africa as a major donor but infrequent recipient of invasive non-native grasses;e;2016;6;Global Ecology and Biogeography;visser;pdoc;2
Ranking of invasive spread through urban green areas in the world's 100 most populous cities;e;2017;4;Biological Invasions;visser;pdoc;2
Rapid prioritization of alien plants for eradication based on climatic suitability and eradication feasibility;e;2017;4;Austral Ecology;visser;pdoc;2
The global distribution of bamboos: assessing correlates of introduction and invasion;e;2017;4;AoB PLANTS;visser;pdoc;2
Decision support for Foodbank South Africa;or;2014;4;Orion: Journal of the Operations Research of South Africa;watson;l;3
On the validity of team performance indicators in rugby union;or;2017;3;International Journal of Performance Analysis in Sport;watson;l;3
